# NAME: LAKE SUPERIOR MONTHLY NET BASIN SUPPLIES 
# UNITS: cubic metres per second (m3/s)   
# PERIOD OF RECORD: 1900 TO 2025 
# DESCRIPTION: Residual net basin supplies (aggregate of runoff; overlake precipitation and evaporation)  
# are calculated using: lake levels and the outflow from the lake and diversions. 
# The residual net basin supplies are coordinated by the US Army Corps of Engineers
# and Environment and Climate Change Canada under the auspices of the 
# Coordinating Committee on Great Lakes Basic Hydraulic and Hydrologic Data      www.greatlakescc.org 
# All data for the previous 12 months should be considered provisional. 
# NBS data starting from 1 January 2009 has not yet been coordinated.
# note: -9999 means that no data is available for that date 
Year, Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec 
1982,-950.0,-490.0,1230.0,4730.0,6210.0,2510.0,5970.0,2860.0,2910.0,4800.0,1710.0,1700.0 
1983,-310.0,140.0,1740.0,4250.0,4940.0,3710.0,3290.0,2450.0,1270.0,3110.0,2280.0,-1110.0 
1984,-600.0,1700.0,960.0,4730.0,3460.0,6960.0,3060.0,3220.0,1490.0,1670.0,240.0,580.0 
1985,-590.0,860.0,1920.0,5060.0,5390.0,3440.0,4100.0,3680.0,4080.0,3340.0,3640.0,-550.0 
1986,-470.0,630.0,2320.0,6020.0,2770.0,4500.0,4250.0,2720.0,2630.0,1100.0,-60.0,-1200.0 
1987,-860.0,-150.0,710.0,1630.0,3570.0,2090.0,3950.0,1790.0,180.0,-850.0,550.0,-350.0 
1988,-740.0,-1240.0,1720.0,3000.0,3390.0,2380.0,1690.0,5680.0,1770.0,750.0,4770.0,-420.0 
1989,530.0,-600.0,1450.0,4010.0,5790.0,5230.0,1870.0,2470.0,-240.0,1030.0,-1020.0,-930.0 
1990,0.0,-880.0,1520.0,3730.0,3410.0,5410.0,3060.0,990.0,2340.0,2500.0,500.0,-1140.0 
1991,-660.0,-560.0,3010.0,4390.0,4710.0,3810.0,3520.0,1420.0,1230.0,2470.0,3150.0,-230.0 
1992,0.0,-140.0,850.0,3340.0,5110.0,2620.0,4360.0,2790.0,4010.0,1600.0,860.0,1350.0 
1993,-330.0,-1900.0,710.0,4880.0,6360.0,4200.0,4860.0,3270.0,190.0,890.0,-670.0,630.0 
1994,-1090.0,670.0,1430.0,4850.0,4440.0,4120.0,3840.0,2590.0,2930.0,-200.0,-560.0,-480.0 
1995,-1080.0,-840.0,1600.0,2340.0,4270.0,2170.0,3890.0,3060.0,1640.0,4230.0,-410.0,-230.0 
1996,1000.0,1220.0,1330.0,4780.0,6480.0,5580.0,5430.0,3720.0,2330.0,2480.0,70.0,530.0 
1997,1430.0,-270.0,2170.0,5470.0,4570.0,3830.0,3390.0,840.0,1970.0,20.0,-160.0,-1030.0 
1998,-410.0,360.0,2240.0,2230.0,2580.0,3990.0,840.0,320.0,-390.0,-360.0,770.0,-430.0 
1999,-410.0,1130.0,250.0,4300.0,5660.0,3720.0,5960.0,1690.0,1290.0,90.0,-850.0,-590.0 
2000,-410.0,-650.0,3140.0,2070.0,3490.0,5790.0,1810.0,1320.0,-740.0,-100.0,-140.0,-1630.0 
2001,-350.0,110.0,530.0,10650.0,5440.0,3700.0,2620.0,2350.0,-460.0,890.0,2130.0,1080.0 
2002,-1540.0,60.0,770.0,5870.0,3620.0,3950.0,3540.0,1750.0,3050.0,1430.0,-100.0,-1370.0 
2003,-1890.0,-370.0,2200.0,3920.0,5210.0,1710.0,3720.0,1650.0,2460.0,580.0,870.0,-850.0 
2004,-290.0,330.0,2540.0,5220.0,5460.0,3700.0,2870.0,2970.0,2270.0,4030.0,-910.0,340.0 
2005,-470.0,1250.0,690.0,3450.0,4000.0,5110.0,1480.0,1120.0,780.0,3040.0,1420.0,-470.0 
