# NAME: LAKE ST CLAIR MONTHLY NET BASIN SUPPLIES 
# UNITS: cubic metres per second (m3/s)   
# PERIOD OF RECORD: 1900 TO 2025 
# DESCRIPTION: Residual net basin supplies (aggregate of runoff; overlake precipitation and evaporation)  
# are calculated using: lake levels; inflow from Lake Michigan-Huron through the St. Clair River; the outflow 
# from Lake St. Clair through the Detroit River. The residual net basin supplies are coordinated 
# by the US Army Corps of Engineers and Environment and Climate Change Canada under the auspices of the 
# Coordinating Committee on Great Lakes Basic Hydraulic and Hydrologic Data      www.greatlakescc.org 
# All data for the previous 12 months should be considered provisional. 
# NBS data starting from 1 January 2009 has not yet been coordinated.
# note: -9999 means that no data is available for that date 
Year, Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec 
1985,240.0,490.0,720.0,410.0,80.0,50.0,80.0,80.0,90.0,160.0,540.0,270.0 
1986,210.0,200.0,590.0,170.0,80.0,200.0,90.0,20.0,190.0,320.0,100.0,280.0 
1987,150.0,50.0,300.0,210.0,40.0,30.0,30.0,30.0,60.0,40.0,140.0,380.0 
1988,80.0,120.0,270.0,150.0,20.0,-80.0,30.0,0.0,10.0,70.0,230.0,100.0 
1989,140.0,80.0,160.0,200.0,50.0,120.0,-20.0,-20.0,30.0,40.0,120.0,60.0 
1990,330.0,430.0,320.0,210.0,140.0,90.0,40.0,50.0,150.0,190.0,180.0,360.0 
1991,420.0,260.0,230.0,230.0,150.0,80.0,10.0,50.0,-50.0,20.0,30.0,70.0 
1992,210.0,330.0,210.0,260.0,50.0,60.0,260.0,170.0,340.0,150.0,450.0,200.0 
1993,550.0,180.0,370.0,350.0,50.0,140.0,70.0,20.0,20.0,30.0,-10.0,40.0 
1994,280.0,290.0,410.0,270.0,170.0,180.0,140.0,110.0,40.0,50.0,70.0,150.0 
1995,410.0,200.0,340.0,220.0,170.0,60.0,100.0,80.0,-10.0,80.0,220.0,220.0 
1996,230.0,380.0,220.0,270.0,320.0,320.0,70.0,50.0,260.0,190.0,180.0,390.0 
1997,470.0,640.0,510.0,200.0,330.0,240.0,100.0,70.0,70.0,30.0,80.0,140.0 
1998,430.0,330.0,450.0,220.0,110.0,90.0,70.0,70.0,20.0,20.0,0.0,40.0 
1999,440.0,230.0,170.0,180.0,60.0,100.0,50.0,-20.0,-30.0,0.0,40.0,150.0 
2000,140.0,190.0,140.0,270.0,240.0,280.0,280.0,220.0,150.0,110.0,130.0,310.0 
2001,280.0,710.0,310.0,250.0,120.0,120.0,-10.0,-10.0,10.0,210.0,120.0,280.0 
2002,170.0,350.0,250.0,340.0,160.0,70.0,0.0,-60.0,-60.0,-60.0,20.0,80.0 
2003,150.0,230.0,280.0,200.0,220.0,90.0,30.0,20.0,20.0,50.0,200.0,260.0 
2004,330.0,190.0,500.0,140.0,460.0,130.0,50.0,70.0,-10.0,10.0,40.0,250.0 
2005,520.0,410.0,340.0,320.0,110.0,60.0,50.0,0.0,30.0,-20.0,100.0,260.0 
2006,290.0,370.0,330.0,160.0,160.0,90.0,120.0,60.0,50.0,320.0,220.0,350.0 
2007,420.0,180.0,440.0,200.0,150.0,70.0,20.0,60.0,-20.0,-10.0,10.0,180.0 
2008,380.0,500.0,460.0,320.0,70.0,170.0,120.0,20.0,170.0,10.0,240.0,530.0 
2009,870.0,660.0,510.0,420.0,270.0,280.0,180.0,220.0,110.0,130.0,100.0,180.0 
2010,300.0,-140.0,240.0,190.0,240.0,290.0,210.0,90.0,150.0,120.0,140.0,330.0 
2011,300.0,270.0,750.0,470.0,600.0,380.0,330.0,250.0,310.0,330.0,430.0,640.0 
2012,600.0,400.0,400.0,250.0,270.0,240.0,200.0,140.0,130.0,150.0,190.0,170.0 
2013,470.0,540.0,410.0,550.0,210.0,400.0,400.0,240.0,210.0,230.0,300.0,470.0 
2014,-630.0,130.0,460.0,430.0,510.0,290.0,320.0,250.0,320.0,270.0,280.0,220.0 
2015,200.0,550.0,490.0,350.0,280.0,480.0,390.0,300.0,280.0,130.0,250.0,250.0 
2016,380.0,480.0,530.0,480.0,300.0,260.0,270.0,260.0,200.0,150.0,140.0,350.0 
2017,470.0,360.0,340.0,220.0,100.0,150.0,-110.0,-180.0,-140.0,100.0,340.0,250.0 
2018,250.0,580.0,300.0,420.0,100.0,190.0,40.0,430.0,870.0,890.0,850.0,560.0 
2019,550.0,530.0,760.0,410.0,170.0,60.0,-60.0,-270.0,-130.0,-60.0,40.0,160.0 
2020,700.0,300.0,470.0,160.0,110.0,180.0,100.0,-60.0,0.0,230.0,370.0,360.0 
2021,440.0,-170.0,400.0,90.0,30.0,410.0,330.0,110.0,290.0,370.0,250.0,390.0 
2022,140.0,270.0,530.0,240.0,250.0,300.0,40.0,-30.0,-40.0,160.0,50.0,130.0 
2023,280.0,520.0,640.0,590.0,200.0,140.0,500.0,500.0,200.0,270.0,250.0,260.0 
2024,700.0,500.0,400.0,400.0,460.0,570.0,550.0,440.0,160.0,300.0,190.0,170.0 
2025,310.0,240.0,-99990.0,-99990.0,-99990.0,-99990.0,-99990.0,-99990.0,-99990.0,-99990.0,-99990.0,-99990.0 
