cfs_run,year,month,sup_evap,sup_pcp,sup_rnoff,eri_evap,eri_pcp,eri_rnoff,ont_evap,ont_pcp,ont_rnoff,mih_evap,mih_pcp,mih_rnoff,sup_cnbs,eri_cnbs,ont_cnbs,mih_cnbs
2024061200,2025,3,71.13733,49.032196,36.835083,34.618614,65.44693,87.6573,73.10294,54.550903,138.29614,60.311237,66.70141,72.44492,14.72995,118.48562,119.7441,78.8351
2024061206,2025,3,68.76548,45.896523,29.2978,28.706377,90.360985,121.34642,66.29005,72.50952,164.81154,48.838535,64.48904,67.21979,6.4288406,183.00102,171.031,82.8703
2024061212,2025,3,66.24824,43.36032,36.66201,48.07654,65.98876,67.02371,70.305084,75.05404,162.12773,60.67184,57.681675,60.695343,13.774094,84.93594,166.87668,57.705173
2024061218,2025,3,56.58723,45.83141,32.73092,33.194893,60.000065,73.72505,64.35528,52.69465,144.22868,47.974525,49.201736,60.96763,21.975101,100.53022,132.56805,62.19484
2024061300,2025,3,72.01817,22.56619,29.775236,28.552954,98.75093,137.82759,71.47036,105.100945,180.88213,53.672382,67.13959,67.26376,-19.676746,208.02557,214.5127,80.73097
2024061306,2025,3,69.03385,48.686142,31.686195,42.666477,73.06044,93.603935,68.6347,57.357628,137.81885,58.652443,54.23338,63.78587,11.338486,123.997894,126.54179,59.366806
2024061312,2025,3,62.97654,53.438007,32.642426,48.019047,92.90373,115.02979,62.372826,94.73842,188.65938,51.19971,76.543236,72.94309,23.10389,159.91449,221.02496,98.28662
2024061318,2025,3,68.53669,41.640373,27.728476,21.96721,75.67515,97.33237,71.31085,60.78573,148.86203,51.998154,53.92631,60.027256,0.83216095,151.0403,138.33691,61.955414
2024061400,2025,3,70.7464,44.252705,31.6687,35.157314,59.6225,59.516666,75.33716,66.922714,155.54141,60.75711,42.685123,54.861816,5.175003,83.98186,147.12697,36.789825
2024061406,2025,3,70.806854,34.110508,29.492071,27.56124,97.24875,149.09778,70.66942,75.018585,178.35103,49.257584,75.765045,78.49475,-7.204277,218.7853,182.7002,105.00221
2024061412,2025,3,79.01122,49.61414,34.01869,37.831085,68.090126,85.42199,82.08443,47.367607,127.67414,68.21669,54.533863,64.6279,4.621605,115.68103,92.95732,50.94507
2024061418,2025,3,58.603638,47.426605,37.889576,44.86406,60.080254,70.50287,63.146996,57.428616,143.48819,51.976578,54.18696,61.79681,26.71254,85.71907,137.7698,64.00719
2024061500,2025,3,80.7055,43.987972,35.665833,32.32942,57.6993,62.65737,85.98243,62.75398,152.29431,70.82173,50.56231,62.758083,-1.0516891,88.02725,129.06586,42.498657
2024061506,2025,3,84.9926,46.46928,37.233715,32.877937,71.17562,76.2878,85.72425,73.342606,172.21881,72.07571,73.64102,71.3442,-1.2896042,114.58549,159.83716,72.90952
2024061512,2025,3,57.79768,39.89406,30.72291,35.16989,66.065956,83.71493,61.506405,54.738342,143.70178,48.491257,47.19376,63.01925,12.819286,114.61099,136.93372,61.721756
2024061518,2025,3,74.870735,35.049854,35.182343,33.123375,51.084026,55.886497,81.63049,47.905384,123.29137,63.517246,39.69061,59.54485,-4.638542,73.847145,89.56625,35.718212
2024061600,2025,3,59.7014,48.711494,40.89585,23.845858,55.19784,65.24308,65.65485,46.247883,149.401,48.889618,69.78722,72.368484,29.905945,96.59506,129.99403,93.26608
2024061606,2025,3,74.73091,37.435596,27.980536,20.915453,91.52933,117.9607,68.24059,101.083336,199.07619,50.071106,67.5875,65.749985,-9.314781,188.57457,231.91891,83.26639
2024061612,2025,3,70.86644,52.637417,31.633713,26.888178,89.87548,125.364914,62.848717,78.41015,184.10593,54.17228,92.718376,80.146545,13.404694,188.3522,199.66736,118.69265
2024061618,2025,3,66.00626,47.948402,34.802345,30.827063,84.43561,118.08644,58.2474,63.37611,154.99237,51.961872,69.82924,76.29977,16.744484,171.69499,160.1211,94.16713
2024061700,2025,3,78.9562,55.983715,27.790432,34.492237,92.68225,122.39494,73.44918,111.03529,213.47108,61.556812,85.50064,66.19986,4.8179474,180.58496,251.05719,90.14369
2024061706,2025,3,67.018105,48.600376,38.738705,36.14985,57.737385,64.82348,81.30406,57.707504,147.1674,60.611633,67.49407,68.65469,20.320976,86.41102,123.57085,75.53714
2024061712,2025,3,70.02447,44.896206,30.432137,47.68911,56.181606,70.53391,67.56008,44.915333,113.07153,59.85032,38.33214,52.23258,5.303871,79.026405,90.42678,30.714401
2024061718,2025,3,68.14462,43.894543,34.64179,40.82037,33.712666,54.675667,66.54698,30.085642,112.15689,56.760086,30.187214,56.37945,10.391708,47.567966,75.69556,29.80658
2024061800,2025,3,69.30003,30.607393,29.767235,39.63053,49.51076,57.472042,66.4475,59.845596,137.8354,56.14851,24.295807,47.799267,-8.925407,67.35227,131.23349,15.946568
2024061806,2025,3,70.52082,50.285843,31.961367,34.98826,68.420296,81.676155,76.31689,61.49104,144.60437,59.912254,53.475246,58.61279,11.726387,115.10819,129.77853,52.17578
2024061812,2025,3,76.3597,33.066395,29.214996,42.82392,120.42152,178.09749,73.86637,105.430145,201.11935,59.732132,67.62191,73.571465,-14.078312,255.6951,232.68314,81.46124
2024061818,2025,3,76.428955,44.801838,32.46646,30.68553,54.124813,70.685585,78.59407,44.37269,120.50044,63.847927,44.923206,56.118774,0.8393402,94.12486,86.27907,37.19405
2024061900,2025,3,61.682846,66.601746,37.33374,58.259106,58.26234,65.10938,65.57857,69.04925,176.98183,55.986313,77.42665,77.99013,42.25264,65.11261,180.4525,99.430466
2024061906,2025,3,71.34182,43.311447,36.383877,47.11599,80.050354,98.35216,68.07841,84.0749,197.07866,59.87055,82.49142,72.30207,8.353508,131.28653,213.07516,94.92294
2024061912,2025,3,60.078358,47.62711,38.842964,34.478714,61.793404,75.89761,65.690796,54.116543,140.35143,51.551437,64.11814,67.007225,26.39172,103.212296,128.77718,79.57393
2024061918,2025,3,59.35279,36.66088,36.152588,40.449856,55.626675,65.81101,55.546436,54.58997,141.54951,47.97847,39.87311,60.47972,13.460678,80.98782,140.59305,52.37436
2024062000,2025,3,79.157364,36.020386,30.307974,31.635138,93.76678,127.711105,77.69179,87.48184,172.67348,56.808205,70.096756,66.187355,-12.829002,189.84274,182.46355,79.475914
2024062006,2025,3,62.11607,41.65364,29.199865,36.09812,69.45911,80.58724,67.782394,62.23968,146.61978,51.61879,47.284077,56.346478,8.737438,113.948235,141.07707,52.011765
2024062012,2025,3,78.75084,40.138485,32.410355,32.37917,80.83309,92.03319,75.63859,95.903275,193.32446,61.44229,76.9653,63.449726,-6.201996,140.4871,213.58914,78.97273
2024062018,2025,3,64.73367,46.827747,29.081686,32.804367,78.63118,104.13775,65.99637,66.84692,149.21703,49.047108,60.93752,64.688866,11.175758,149.96455,150.06757,76.579285
2024062100,2025,3,76.93318,48.122383,30.174849,30.433393,100.32873,136.33719,73.34603,93.599045,193.33751,57.535816,81.51004,71.13671,1.3640518,206.23253,213.59052,95.11095
2024062106,2025,3,70.738235,38.890793,34.796474,36.104183,102.67736,144.13943,67.31773,74.338005,173.76462,50.245632,67.75907,79.18654,2.9490356,210.71262,180.7849,96.69998
2024062112,2025,3,62.84519,42.36064,30.710772,29.701918,78.70297,91.73086,65.627,76.72112,170.76517,47.07377,54.477676,60.352787,10.226223,140.73192,181.8593,67.75669
2024062118,2025,3,59.605606,43.550842,33.05506,45.462925,43.960068,63.03515,59.55632,32.83086,109.113,53.462673,28.617382,55.5464,17.000298,61.53229,82.38754,30.701107
2024062200,2025,3,58.89181,25.684132,39.3964,65.24726,37.062706,58.39986,56.981293,31.715372,111.71083,58.557396,22.078968,58.215458,6.1887245,30.21531,86.444916,21.73703
2024062206,2025,3,74.88559,49.97061,40.004242,51.49043,46.122242,61.124146,75.71096,43.307934,123.62849,65.69919,44.647892,62.46381,15.089264,55.755955,91.22546,41.412514
2024062212,2025,3,79.26161,36.376904,25.399193,21.569384,105.05254,141.27238,74.339935,98.239235,189.60237,58.08028,59.917202,59.612614,-17.485516,224.75554,213.50168,61.449535
2024062218,2025,3,66.564545,46.553173,36.153767,41.50499,57.922165,63.29694,73.1166,55.959652,133.43658,56.185204,47.931076,58.33535,16.142395,79.71411,116.27964,50.081223
2024062300,2025,3,77.08093,78.95854,38.63145,41.90334,64.22346,78.240486,77.5627,55.86756,146.91968,71.6712,89.97887,78.09096,40.509064,100.56061,125.22453,96.39862
2024062306,2025,3,86.91873,31.81124,32.93159,40.87501,111.61169,162.81322,86.47373,110.24089,194.61447,65.3521,81.8622,76.13581,-22.175903,233.54988,218.38162,92.64592
2024062312,2025,3,70.34633,56.667633,37.27455,44.50284,67.95752,75.63621,76.849106,63.835846,149.24608,62.39989,67.60852,67.87012,23.595856,99.09088,136.23282,73.07875
2024062318,2025,3,76.79268,46.61821,35.949898,24.01636,53.655853,70.84652,82.133385,51.044,137.76936,64.667885,73.37711,68.91143,5.775429,100.486015,106.67997,77.62066
2024062400,2025,3,80.506294,34.30985,28.712828,32.4129,94.814095,114.02659,80.52039,98.51464,174.99469,59.14353,62.717945,58.319397,-17.48362,176.42778,192.98895,61.893806
2024062406,2025,3,63.191154,44.436157,37.51117,48.115913,75.87179,96.19427,59.774315,67.86795,157.96594,54.55629,75.502205,74.965675,18.756172,123.95014,166.05957,95.91159
2024062412,2025,3,69.97375,34.74059,32.57885,45.510033,40.774845,60.78026,70.25585,36.578445,102.06517,62.52641,24.796768,52.985912,-2.6543045,56.045067,68.387764,15.256275
2024062418,2025,3,70.2667,37.114037,25.074478,28.669104,100.988754,129.68973,68.8607,87.884605,169.12538,52.37711,50.86674,57.366467,-8.078186,202.00938,188.14928,55.8561
2024062500,2025,3,63.483322,45.374542,33.315907,35.225346,52.791965,60.49359,68.134476,60.14582,152.7937,53.48123,47.08908,56.012405,15.207123,78.06021,144.80504,49.620255
2024062506,2025,3,91.15307,95.36402,37.123547,27.31775,125.339165,179.31358,58.33568,132.56711,290.80392,63.830994,161.75279,100.87419,41.334496,277.335,365.03534,198.79599
2024062512,2025,3,85.46953,85.09362,38.0685,44.884468,93.186584,123.196236,68.8546,93.11999,207.65706,64.11202,120.32267,92.48533,37.692596,171.49835,231.92244,148.69598
2024062518,2025,3,77.707504,56.292377,40.18173,38.762997,47.44237,55.068497,75.50362,53.369396,143.48198,71.64024,83.01567,65.55713,18.766602,63.747868,121.34776,76.932556
2024062600,2025,3,95.57304,46.893124,34.160484,18.74254,79.190285,85.91368,86.51125,85.40019,190.67032,70.873924,74.93575,64.661156,-14.519432,146.36143,189.55923,68.722984
2024062600,2025,4,51.56144,50.226326,40.873688,44.05994,95.5349,133.44505,54.758636,81.35952,204.6268,44.470215,91.15275,96.671585,39.538574,184.92001,231.22769,143.35413
2024062606,2025,3,80.50635,38.254364,28.970465,31.470285,84.72318,90.684425,76.31723,93.51831,170.27605,62.521538,53.799805,53.562885,-13.281517,143.93732,187.47714,44.84115
2024062606,2025,4,59.990013,32.88437,31.630098,48.895744,84.81074,98.67133,60.013638,78.8546,151.93716,53.376793,38.117825,52.8628,4.524452,134.58633,170.77812,37.60383
2024062612,2025,3,75.048134,53.57014,31.802822,35.27866,62.778576,69.802704,81.84661,66.34738,156.27882,62.304066,60.11506,60.69233,10.324829,97.30263,140.7796,58.503323
2024062612,2025,4,53.080376,34.41074,41.568104,56.335007,104.36284,154.3859,61.170982,101.30827,194.53745,48.90626,72.38998,81.86523,22.898468,202.41371,234.67471,105.34894
2024062618,2025,3,79.24594,58.007107,36.26807,43.916145,62.713543,71.37393,80.83522,65.99467,155.80692,70.39788,65.82045,65.948524,15.029236,90.17133,140.96635,61.3711
2024062618,2025,4,67.25234,41.493534,34.614895,50.423218,105.01536,134.4806,62.433037,77.43058,163.47214,51.11383,53.94605,67.595924,8.856087,189.07275,178.46967,70.42815
2024062700,2025,3,60.495636,43.874313,33.99712,43.830357,66.51152,78.21358,60.00976,73.995735,176.66223,52.179436,63.706184,62.90498,17.375793,100.894745,190.6482,74.431725
2024062700,2025,4,68.29375,112.42407,49.264748,55.6154,103.08841,117.29291,54.512886,85.730484,178.87231,43.174694,153.65808,100.95994,93.395065,164.76591,210.0899,211.44331
2024062706,2025,3,69.34131,61.674374,38.163624,49.118793,64.68755,76.24794,67.780624,45.839497,126.60305,62.715576,57.87293,67.088974,30.496689,91.816696,104.66193,62.246323
2024062706,2025,4,70.27154,38.737194,43.157703,63.961422,95.04497,127.089455,59.61873,64.02723,157.22354,56.164013,66.3712,80.54849,11.62336,158.173,161.63203,90.75568
2024062712,2025,3,70.118645,45.13288,33.005527,34.75824,52.24051,60.074867,72.86446,45.869537,125.03691,57.99626,42.161545,57.14991,8.019768,77.55714,98.041985,41.315193
2024062712,2025,4,62.49702,67.61669,45.569786,59.988243,66.85437,70.364845,66.04371,49.669083,127.26538,56.86228,79.42769,73.493515,50.689457,77.230965,110.890755,96.05892
2024062718,2025,3,71.71409,55.260067,32.921093,39.474026,64.6649,78.10502,76.18062,66.51838,148.40822,61.232544,65.24465,59.502216,16.467072,103.2959,138.74599,63.514328
2024062718,2025,4,53.756657,39.64796,39.288757,61.65349,90.24813,116.72404,59.50961,64.593735,148.52109,52.35215,58.45582,74.66863,25.180065,145.31868,153.60521,80.7723
2024062800,2025,3,67.572426,44.13696,29.920992,30.225573,77.448,102.00102,66.401085,71.09664,158.79659,51.356647,63.570484,63.01868,6.485527,149.22345,163.49213,75.23251
2024062800,2025,4,65.76536,52.87517,43.744392,61.09195,78.09561,85.65737,70.154396,74.469406,168.15134,59.706326,76.31169,74.157585,30.85421,102.66104,172.46634,90.76294
2024062806,2025,3,75.179726,39.435,29.159603,39.989395,86.7218,95.04092,76.20083,92.28111,160.34564,57.736816,59.58906,53.651333,-6.585121,141.77333,176.42593,55.50358
2024062806,2025,4,54.536903,53.584995,43.61156,52.495754,74.12949,83.57095,63.25196,58.251263,138.04558,49.606503,69.35362,74.76135,42.659653,105.20468,133.04489,94.50847
2024062812,2025,3,63.333557,39.404324,30.992954,43.96726,96.71054,128.46523,57.611557,72.984406,156.31754,49.471306,52.44849,66.84269,7.0637207,181.20851,171.69038,69.81988
2024062812,2025,4,47.767166,37.705154,40.980896,70.44281,43.88364,55.098206,54.60207,38.902264,119.40685,49.17651,29.71782,59.541218,30.918884,28.539032,103.70705,40.082523
2024062818,2025,3,77.60138,66.89583,32.61528,34.022457,79.155846,91.255646,69.327385,77.87229,172.80305,61.29829,69.05506,59.007732,21.909729,136.38904,181.34796,66.764496
2024062818,2025,4,59.752728,50.810436,38.322727,55.534763,83.56784,92.47996,63.901505,88.29388,176.2341,51.267647,70.53935,67.77919,29.380436,120.51303,200.62648,87.050896
2024062900,2025,3,62.607353,65.401596,38.808716,49.66178,67.23779,70.68868,63.402702,54.970425,134.22247,57.126522,98.2296,77.298416,41.60296,88.2647,125.7902,118.40149
2024062900,2025,4,59.99698,101.529144,56.864716,59.133938,113.91174,129.21924,55.12884,107.63123,204.9867,49.65912,112.288605,93.2769,98.39688,183.99704,257.48907,155.90639
