dayofyear	superior_sst	michigan-huron_sst	erie_sst	ontario_sst
322	279.01181818181817	281.08920454545455	282.7895454545455	281.69613636363636
323	278.89022727272726	280.9831818181818	282.6456818181818	281.54409090909087
324	278.7804545454545	280.8665909090909	282.4975	281.4327272727273
325	278.67681818181813	280.6996590909091	282.29409090909087	281.2704545454545
326	278.5897727272727	280.5896590909091	282.09999999999997	281.09499999999997
327	278.5611363636363	280.49431818181813	281.9154545454545	280.9952272727273
328	278.5552272727272	280.36022727272723	281.7704545454545	280.9170454545454
329	278.46999999999997	280.20931818181816	281.6322727272727	280.7986363636364
330	278.3781818181818	280.09034090909086	281.4309090909091	280.6959090909091
331	278.2804545454545	279.9694318181818	281.23636363636365	280.61909090909086
332	278.24363636363637	279.8413636363636	281.15772727272724	280.55227272727274
333	278.1820454545454	279.71829545454545	280.9795454545454	280.40022727272725
334	278.0940909090909	279.6631818181818	280.8727272727273	280.24249999999995
335	278.0356818181818	279.59840909090906	280.7838636363636	280.1490909090909
336	277.95113636363635	279.5140909090909	280.5643181818181	280.0263636363636
337	277.90522727272725	279.40090909090907	280.37454545454545	279.88295454545454
338	277.8906818181818	279.29670454545453	280.19795454545454	279.72840909090905
339	277.82045454545454	279.2056818181818	280.03363636363633	279.6736363636364
340	277.7477272727273	279.08011363636365	279.8615909090909	279.59590909090906
341	277.71590909090907	278.9665909090909	279.7434090909091	279.4525
342	277.6472727272727	278.8685227272727	279.6306818181818	279.3131818181818
343	277.55954545454546	278.7821590909091	279.455	279.2486363636363
344	277.46454545454543	278.6523863636363	279.27431818181816	279.16499999999996
345	277.39522727272725	278.5675	279.10340909090905	279.1093181818182
346	277.36477272727274	278.5017045454545	278.9836363636363	279.02363636363634
347	277.28999999999996	278.41681818181814	278.8111363636363	278.9547727272727
348	277.2597727272727	278.3101136363636	278.67159090909087	278.8784090909091
349	277.2063636363636	278.1985227272727	278.5172727272727	278.8054545454545
350	277.13045454545454	278.0631818181818	278.3504545454545	278.7034090909091
351	277.0247727272727	277.9253409090909	278.2181818181818	278.64681818181816
352	276.93863636363636	277.8145454545454	278.0247727272727	278.5697727272727
353	276.8872727272727	277.81374999999997	277.87909090909085	278.52931818181816
354	276.83181818181816	277.7877272727273	277.7779545454545	278.4997727272727
355	276.75522727272727	277.7031818181818	277.6984090909091	278.44113636363636
356	276.69613636363636	277.57715909090905	277.5138636363636	278.3915909090909
357	276.6597727272727	277.4707954545454	277.3781818181818	278.2915909090909
358	276.5856818181818	277.39181818181817	277.2418181818182	278.17840909090904
359	276.56	277.3375	277.08613636363634	278.1111363636364
360	276.50590909090903	277.2410227272727	276.9679545454546	278.0538636363636
361	276.47681818181815	277.1917045454545	276.82954545454544	277.9606818181818
362	276.39931818181816	277.08693181818177	276.65999999999997	277.86818181818177
363	276.3488636363636	276.9869318181818	276.56522727272727	277.79159090909087
364	276.2904545454545	276.8775	276.4513636363636	277.67659090909086
365	276.18545454545455	276.7996590909091	276.40090909090907	277.60568181818184
366	276.03999999999996	276.6713636363636	276.22272727272724	277.5109090909091
