model	year_month	superior_evaporation	superior_precipitation	superior_runoff	erie_evaporation	erie_precipitation	erie_runoff	ontario_evaporation	ontario_precipitation	ontario_runoff	michigan-huron_evaporation	michigan-huron_precipitation	michigan-huron_runoff	superior_cnbs	erie_cnbs	ontario_cnbs	michigan-huron_cnbs	superior_evaporation_obs	superior_precipitation_obs	superior_runoff_obs	erie_evaporation_obs	erie_precipitation_obs	erie_runoff_obs	ontario_evaporation_obs	ontario_precipitation_obs	ontario_runoff_obs	michigan-huron_evaporation_obs	michigan-huron_precipitation_obs	michigan-huron_runoff_obs	superior_cnbs_obs	michigan-huron_cnbs_obs	erie_cnbs_obs	ontario_cnbs_obs
GP	2015-05	27.651805153012194	53.20194108524295	59.83314665897918	69.80957455329442	65.50783860473263	67.60535665579154	45.9673146584942	48.659014400524526	130.50642952296784	30.640219157452737	57.89614151414333	74.12590233922279	85.37072032718683	63.45752335015289	133.0868007434167	100.60016016769833	3.796	94.04	94.3	-6.682105	91.18	55.05	2.50874	50.8	120.8	0.226409	85.18	75.3	5560.0	6840.0	1970.0	970.0
GP	2015-06	20.698985624806294	66.64125940040933	50.65401118612939	83.57934173353847	72.90572538522882	47.09997674627208	49.187031990364154	51.57879904825468	86.77450546845695	27.791978787890415	72.79071508220257	58.14228020592822	96.87660717413455	38.24134379150476	89.617216680866	103.94919051014165	-4.4255	89.84	67.7	12.022336	178.7	133.56	5.36518	176.4	168.9	-3.724261	86.91	64.9	4920.0	6650.0	3410.0	2660.0
GP	2015-07	17.32123154294387	68.1199738041457	43.56711225392261	87.74447604009012	70.93284267381895	31.884980886324676	51.22066824744807	48.49757540820082	65.46471038885991	27.113146679404764	71.07441759818751	47.56780351749771	94.4704462955894	16.653375567299136	63.33148342456342	92.95994652468721	-7.3401	68.05	47.8	54.544503	70.08	80.81	28.73995	44.7	88.8	4.695458	55.71	45.0	3540.0	2530.0	1020.0	870.0
GP	2015-08	19.811860940107714	71.73523268685479	45.36703371566744	88.08505770641075	68.09704135599219	29.535097429257824	51.51501035600557	49.34520353988341	67.87092253649973	28.01960422148178	71.02983953081066	47.147631222881586	97.44801042851532	10.342665505549057	65.57837609296395	91.17229854902976	6.4055	82.25	36.4	117.490234	68.07	21.43	65.79327	88.4	43.9	41.159551	87.81	33.9	2840.0	1750.0	-480.0	230.0
GP	2015-09	31.97164400498112	74.15840298825387	53.26846910341558	88.97789468949786	65.24130072783136	40.014756915864226	50.647355325606554	51.3188203744122	92.86319390724881	35.62850541697817	72.0490482968171	58.10941524775859	95.26077471186665	16.010860378848797	94.97189105239002	95.84490684806318	31.519	63.98	37.4	118.207078	81.36	27.04	71.62195	95.7	51.3	50.720028	79.48	34.1	1920.0	1180.0	-100.0	380.0
GP	2015-10	46.546385683076736	53.54394902075437	52.267821344498415	78.37886495525383	58.153603334490654	59.23772334540129	50.320210534337846	49.62694327941507	131.38923342201963	45.558189576564295	51.983115008402514	65.79265896855506	59.40375434244059	40.15963898418516	130.52630881416627	71.30332811948898	72.753	55.89	33.2	197.965084	58.73	19.81	100.9125	84.0	84.3	88.206669	53.16	30.6	-150.0	-1940.0	-1220.0	140.0
GP	2015-11	53.84745027472933	33.25436594254205	42.6883095642969	53.85999366246695	48.31752656241936	74.86044195999871	49.463649268280605	43.00685914446362	144.3453306446236	48.87631950197093	39.443864644075134	63.015442109360436	23.216444437093095	74.9987075427851	138.86817968636848	54.68854891389283	89.993	83.43	57.6	121.569917	54.94	44.41	59.17494	36.3	107.5	83.862413	87.08	57.5	1740.0	2110.0	-100.0	580.0
GP	2015-12	50.819157324294395	22.104064275081576	32.618456411450666	29.41762759093603	39.56862183416301	72.51188353941976	45.97667047825766	38.34611956520007	132.00015794188957	44.13738058297501	25.621897194344207	51.292876485825374	4.89952276498834	84.9341692437985	126.48763754116274	34.05993289878955	101.24	100.98	58.5	74.812516	73.43	63.09	52.74904	62.8	122.5	73.800568	115.71	92.7	2450.0	6910.0	560.0	930.0
GP	2016-01	44.79708428611037	18.573996309351017	27.091095075883267	12.611934318357989	33.41063365894756	64.93856576213827	42.89888739854965	33.70781464761542	117.09850716610566	36.76084368147393	21.081589244179522	45.571825102280044	1.045374803554223	87.1755171155169	109.30551887757431	29.69511877596492	88.863	58.49	40.8	71.991079	44.21	82.88	104.53963	53.3	144.1	104.757726	46.91	74.0	430.0	680.0	760.0	1010.0
GP	2016-02	41.77935867894115	16.02602802076192	28.29523566260642	10.027754281800597	31.341737658663092	63.57802108289732	40.00500983898216	30.561622243486546	114.54606891100539	33.92291698238127	17.519071159065987	45.90018194119824	2.537027242338489	85.84184956284773	106.14767133050863	29.130069303138406	57.995	54.21	30.8	23.529536	70.34	78.3	63.10113	90.8	181.3	47.456328	53.22	69.7	940.0	4070.0	1300.0	2060.0
GP	2016-03	42.910539786510704	18.220864435273242	36.84307923762239	22.568864158620478	38.21568481863466	73.9397680969157	40.80815240819394	35.66191745134929	139.94588133585725	37.04006193865577	21.213613708311428	55.49209015701102	11.064701753061875	90.71775339414135	135.13331502742724	38.56659786334059	40.19	54.51	66.0	14.915581	107.74	127.55	30.28458	71.8	246.1	15.741457	112.59	106.9	2280.0	9420.0	2480.0	2320.0
GP	2016-04	37.807378799945866	32.29000511569113	53.29866029355495	46.893211955533474	50.63640178174299	76.01190824877469	42.402027216687934	40.85474918826712	153.91595672891611	35.83252546126167	38.908106462888014	72.59042397499404	47.811820006758246	79.5066657447606	152.70650031213552	75.92043861848283	28.182	43.92	73.9	21.258944	69.68	117.14	34.41716	61.4	209.0	22.15744	66.79	133.6	2690.0	8210.0	1900.0	1730.0
GP	2016-05	27.21648810402273	52.34378607182035	57.171840902596735	74.26806376397043	66.24816204925408	61.75398944742214	47.32863715443472	48.55842635787984	118.94812410120531	30.737371462795302	59.40024535955513	69.22143746807517	82.88236052029364	53.847224693899854	120.02699401084516	98.14313285149237	4.863	59.64	68.2	27.522389	55.87	66.14	19.9597	35.8	116.1	13.462776	43.0	82.3	3460.0	4860.0	1040.0	800.0
GP	2016-06	19.612717356154587	68.51090864719978	47.93319048926091	86.65885348262319	70.19082426159439	38.92649213653469	50.644571142846615	49.651987399693716	76.8442599806827	27.779177338923258	70.88904035200198	53.3213840658411	96.26000638589409	23.403698193058613	75.07634930340402	96.86816228092833	-5.3732	115.4	66.7	58.818612	45.94	28.16	45.59673	44.1	61.5	13.737672	55.57	49.6	6020.0	3980.0	-110.0	450.0
GP	2016-07	16.66343962369909	68.79323005154859	40.4838099467697	90.01348017060195	69.92081785232193	26.422137466728174	52.14708919369703	49.30945978169597	58.78726491909189	27.036431312596445	71.83950192441657	43.43197104128943	92.85013192602253	6.913707075627986	55.04156341391116	87.8054444193122	-5.6364	90.76	51.0	77.03826	67.39	21.96	60.92254	34.5	38.0	23.210329	71.98	39.1	3920.0	2650.0	120.0	-30.0
GP	2016-08	20.397274448414038	72.3534732795839	42.400484838527994	91.20259098690245	68.92816660297888	24.80934727025761	52.555307408087074	51.077491863604344	60.95171180234382	28.61499538844675	71.18565361987152	43.08712677071381	93.70659440012967	2.5643708946556814	58.83267925656229	85.03113530594517	20.359	94.89	35.7	118.199069	87.93	21.97	67.92132	93.8	39.2	51.61281	94.62	36.3	2860.0	1620.0	-270.0	200.0
GP	2016-09	35.460441138106404	74.04026530072206	50.64504010775498	93.50661478423181	64.5107431268359	33.005525316578314	52.33348202389265	52.871306989215675	84.98628403416272	38.166688284579735	69.934753901268	53.0198073260599	88.4511546571928	2.963055621787241	83.54719945848859	83.30159945521652	57.975	113.03	37.5	158.854822	102.57	26.57	93.79012	57.2	38.3	82.674126	80.7	35.2	2610.0	-190.0	-280.0	-370.0
GP	2016-10	52.243226977049716	55.34172782015834	51.31686022853637	85.53328657567381	57.394528842781085	49.922279791059935	54.16097736772278	50.73136643689553	121.76953574050856	50.20328283152149	52.54599434802175	62.19999941379477	52.25498115342444	19.676060905382545	116.69196268546835	62.88602762756148	76.327	54.45	41.6	179.193211	80.77	36.12	92.04949	91.3	90.9	83.890014	63.87	45.3	-200.0	-400.0	-700.0	30.0
GP	2016-11	59.44843890731724	35.83127091597892	42.95107207451214	61.17648543976003	49.130813421816015	71.10552616997087	53.517146719982826	44.63375906186721	142.62122484150592	53.89260783337208	40.41130345621994	62.41015703006363	15.889254995239442	60.68370978948416	134.05827638202902	46.143442057767174	74.056	65.25	36.9	148.789812	45.67	31.87	78.15703	55.0	107.5	85.874348	45.99	42.4	1100.0	-370.0	-810.0	310.0
GP	2016-12	56.05281729968375	26.726236998279976	30.587901547116893	29.201703481329613	40.238565783553526	74.36594954153577	51.75902452288175	39.13526401981588	133.83535652244376	47.67787866890469	31.262518177795798	52.31023869944353	0.12798372364025035	86.13613127876695	120.8923298811337	33.66315036203335	148.44	76.46	45.5	117.417844	86.02	72.69	120.13972	84.6	136.0	146.822515	73.71	56.4	-240.0	-200.0	520.0	640.0
GP	2017-01	46.40248962842844	23.71998709574835	25.127075199095543	8.167689748756743	32.780459472409206	64.77041647999928	47.067197778929085	32.63600009125711	114.57467267950567	37.30315788776641	25.533427110013065	44.827366571571865	1.9634589143174637	90.5044379692762	100.36040413432261	32.306228312538394	98.75	61.29	35.6	35.410739	98.6	154.68	78.65445	83.3	183.1	77.977691	74.02	69.8	190.0	3360.0	2500.0	1820.0
GP	2017-02	41.08050786079595	20.45429685672644	26.685792227229545	4.227300303573777	29.7308107739311	63.50218272105067	42.067172443786376	29.127941997265605	110.78334953081881	32.29766952102415	22.68450360290066	45.36608631502051	6.085994054889973	89.42780423615304	97.93805690748106	35.87065616840951	65.069	65.9	39.4	31.324345	57.29	96.58	60.92332	67.6	154.5	31.714732	57.16	61.4	1480.0	5160.0	1350.0	1530.0
GP	2017-03	44.19136828737524	24.97343696219523	34.14147165142396	18.31219382838797	40.80777934313049	83.75364412064305	44.125011407940136	36.29531234280255	146.1196161863257	37.79157438128657	29.81552200281439	57.164639492905714	14.718672360539768	107.994535580847	138.4240771878886	49.64419764065401	57.323	41.56	51.0	27.039122	92.77	107.22	59.98108	75.9	215.8	43.585974	77.91	89.9	660.0	5370.0	1790.0	1870.0
GP	2017-04	39.69458795606632	39.49796832775218	53.95388800156074	45.41228219935508	53.89365475969605	85.90406603075054	43.36259295337237	43.14127024800267	161.29324806784877	37.552984901624924	45.12224046231036	76.1727465194189	53.05557313556784	94.99123400766517	160.40209021209608	83.93816121988769	-2.2679	104.09	86.4	1.013598	103.27	140.46	7.38812	124.0	328.8	-0.889127	105.65	142.4	6130.0	11910.0	2520.0	3790.0
GP	2017-05	29.759544107997087	52.79469792293998	59.340717926127056	72.25534369428745	66.5086465791216	67.3878684264185	47.02984062428689	50.23977101780691	129.58888684736445	32.64035201545892	58.257413508940026	72.89440850701718	82.65626123751724	61.253901765294174	134.00688920276647	99.03537116480149	1.4058	92.6	98.5	20.732162	138.48	149.51	18.02865	161.0	333.7	3.010501	82.55	113.5	5560.0	8810.0	3110.0	3600.0
GP	2017-06	21.00599527947822	66.80846066840822	48.8973942643133	86.29489145561347	72.13359734796185	42.946424676463025	50.202716553079306	52.42685621499127	82.01674549425451	28.518946306221373	74.27349931080907	55.56361624014053	95.03592129322504	28.527586942278845	83.47334118850343	101.43333782669069	-5.8246	112.38	63.7	44.979556	87.25	48.31	34.31124	125.2	159.1	2.168447	132.04	72.0	5430.0	8950.0	900.0	2280.0
GP	2017-07	16.93773603081303	66.573748734456	40.749419521618044	90.03912252686862	71.28136766571211	28.834446110156467	52.10098522503091	50.20030274756096	61.20974605883112	27.18343223366633	71.20031125688479	44.342433695532215	89.83390667232506	11.145005784677078	58.980192338352644	88.47678784671382	-4.8441	71.15	48.1	70.760995	66.52	62.93	54.28893	95.2	108.7	14.606458	93.33	53.6	3320.0	4220.0	1000.0	1660.0
GP	2017-08	19.652363771969128	73.32688484201863	42.75813388643149	91.30085554735172	69.20157594481992	26.186707754932556	52.714508728825486	51.00267172870825	62.763520783882385	28.13200324570489	71.38339547712458	44.21860653807171	96.15026181281009	4.06359791890268	60.522127011836474	87.7797862584709	14.691	134.07	40.0	122.792333	75.59	26.59	83.58841	73.8	56.8	50.143698	83.94	37.8	4390.0	1190.0	460.0	360.0
GP	2017-09	33.884683964839525	75.31309911031056	51.41710805154105	92.7207877032543	65.19011303253117	35.11784799582381	52.270591653972886	53.00316167558231	88.57190254483342	37.40150149762668	68.2330863562299	54.361840678213305	92.40467479897012	7.966367129973026	88.6741482452098	85.43294698694595	36.675	101.28	45.3	126.28999	44.51	17.27	61.62241	47.6	45.2	50.288387	48.79	34.1	3310.0	-150.0	-870.0	80.0
GP	2017-10	50.85172003414983	54.423757269924046	51.781899120910836	84.16490405953287	58.970164724109964	55.75794880078457	53.805548086719824	51.760813866622826	125.99666468634035	49.07144011122316	56.107798504508615	64.49773597178198	54.01274629307453	27.781707486160016	122.29547208981018	69.90575443019662	75.049	133.71	64.5	175.966324	88.7	27.95	82.58012	146.4	76.5	83.014	123.13	61.0	3260.0	3020.0	-570.0	900.0
GP	2017-11	57.917585467458274	35.222150923635496	42.60610110541139	56.69731728193095	50.504317364003626	75.18471806553198	53.390040520459536	45.046071220596836	145.57128621897994	52.53794759929978	40.66064275323594	63.464310566303666	17.964644957857033	68.68790033424392	136.7118840545009	49.539464122134575	120.02	60.81	58.7	146.037724	129.67	129.1	100.02305	83.6	247.8	120.589585	64.57	81.6	-210.0	420.0	1310.0	1680.0
GP	2017-12	51.53736284407821	25.769953471534325	29.949398596499705	25.188473299080616	39.1344906979096	73.87506886117049	49.41968051867376	38.2307386385049	132.389338921581	44.40055691383823	29.618661036648515	51.707151743467286	3.317600846996683	89.72920735493003	120.19016246829749	35.99637453749675	135.42	95.8	54.8	120.224598	68.41	48.66	128.25552	78.4	124.0	137.97722	64.53	68.0	1520.0	300.0	-20.0	550.0
GP	2018-01	43.394138083376845	23.632412970252076	24.45006830311525	5.3374676497545295	34.01792163380429	68.15460940278295	45.336103733277845	33.72518865992647	116.51797104879196	34.70132152041117	26.50251083572735	44.72037845834656	4.144477507731608	97.01725015105991	104.52364133630948	36.19951143617826	110.1	51.25	35.0	30.446997	54.05	76.94	95.20324	69.6	193.6	73.511699	60.85	61.8	-500.0	2900.0	1050.0	1800.0
GP	2018-02	38.09836524400262	20.625354820187226	25.696412637033646	0.5998593103844101	31.645499008662092	67.02805957996483	40.3894202161577	29.91225326813025	111.33115862046499	29.682101758152697	23.430924146606536	44.768458871253856	8.662476391139446	98.18827088252168	102.40431197411465	38.63535286429989	55.499	41.41	27.3	4.783283	90.68	148.6	27.4397	70.7	196.7	29.075397	66.18	67.1	640.0	5290.0	3080.0	2230.0
GP	2018-03	41.006560141704156	23.8513631566732	33.00695097035087	13.908864999237991	39.95291761943608	85.70836224100071	42.18627589479529	35.1840596560563	143.96316063432508	34.73436272303776	29.350198569666603	56.47126772748284	15.615401252698561	113.1760572159094	137.18636442684843	51.127880116062926	46.349	15.82	26.7	30.583137	78.8	123.42	48.36012	49.4	174.8	41.940068	29.06	65.2	-70.0	2090.0	1380.0	1470.0
GP	2018-04	38.7866368129953	36.69029882589763	51.42485927336508	40.07220828877466	54.27329267833748	92.0503464960232	42.495063058268116	43.01129500388633	165.7703800877818	36.283717795811576	43.4391128020924	76.47032138396314	49.64240380944412	106.69598942222547	166.9050444282409	83.98821983335105	38.781	33.85	44.3	15.01374	96.69	145.75	34.39852	110.8	275.4	21.576505	98.28	91.6	930.0	8350.0	2330.0	3130.0
GP	2018-05	29.349853176087727	54.34252452278987	60.11584432833775	71.18195860734383	67.93101269271185	72.01142049245803	46.624425939825564	49.98057290092791	133.39610766404206	31.821888197912887	61.738088584481616	76.09334207066263	85.47205613704844	68.49843570697331	136.6560392492841	105.47133558203303	-1.0883	64.04	83.1	2.498928	104.76	87.39	4.39777	55.2	163.4	-5.889252	97.8	98.4	4590.0	9460.0	2290.0	1580.0
GP	2018-06	20.438254046846218	67.23996901758137	49.513869733911136	85.75612728555555	71.88836474763855	43.5027564922712	50.14084375317628	51.11973093923463	82.66725949310226	27.923546466657168	72.94818077385051	56.28223097166549	96.20445538742996	30.10975105472355	81.90155808764038	101.23252903590661	-3.9614	82.25	66.8	37.322665	90.24	41.01	25.39873	61.5	73.9	2.429323	70.3	54.6	4090.0	5560.0	950.0	920.0
GP	2018-07	17.096058663802765	67.39190011725864	41.658207193716656	89.70794977064067	70.67594105357708	29.279693293199696	52.00159213540452	48.08139583556657	62.239270971072365	27.25146875465125	70.1998754065608	45.38430472025621	91.48487207568945	11.298552666636159	58.35887103112027	87.80115479672452	-6.843	90.47	44.9	94.986965	56.46	24.15	58.40149	56.7	45.4	22.519506	55.9	37.7	4170.0	1320.0	60.0	340.0
GP	2018-08	19.23347678186714	72.13439356092601	43.10089521458021	90.30616105131313	68.97382508406926	26.97626768136888	52.2474002631768	50.188292369177375	63.30900005977723	28.04163476983583	71.75946591364917	44.89829951364513	95.51270593179304	5.357222121997616	60.33259303774508	87.92530736684165	14.81	92.72	35.1	110.029241	94.64	25.3	65.19599	94.6	44.9	45.167319	126.94	34.2	2660.0	3270.0	-150.0	390.0
GP	2018-09	32.62502093846673	75.16144739154086	51.461171721329436	91.66693080346516	65.20023719606121	35.76367518486738	51.64693822266225	52.418085568668545	89.61814581140659	36.1514342225165	68.09919773850217	54.9729921035067	93.0266785252094	9.217286850281056	88.26853643493862	86.088271695092	58.06	136.35	41.7	135.759071	83.58	34.53	85.96751	63.4	47.3	71.307435	72.36	39.7	3810.0	-80.0	-610.0	-70.0
GP	2018-10	48.31469407855708	54.664817491085074	51.911329957497074	82.1937773272366	55.9350222966329	54.306091366451355	52.83279673395566	48.59921143485769	126.76442881152907	47.679166928467346	53.4490562667155	64.91840848138006	56.505222969356936	27.360796898511698	121.84753792109811	70.45201782321655	75.439	159.42	90.2	195.758276	99.44	41.47	107.89829	78.8	78.0	92.733292	119.18	73.3	5050.0	3650.0	-1040.0	220.0
GP	2018-11	53.41972450762425	33.78267106059272	42.67524184943835	53.62462516679229	49.40299954740803	75.08680273775835	50.62178971100195	45.19451633061237	145.83436305478253	48.672310459346974	39.24668077719264	63.18106250135854	21.29334233108018	70.45706215999212	138.18188535741353	51.319872541671394	111.14	80.39	55.5	139.600185	117.15	112.99	95.66437	131.6	178.5	100.705132	85.8	73.2	900.0	1510.0	770.0	1500.0
GP	2018-12	48.883267361279415	24.900379141855595	30.716699787775514	23.9355358576275	38.05836064902469	72.48126917108549	47.69892982018115	35.745564452855774	131.10992334548197	42.41180954209302	27.77211186035465	51.98852155977556	6.167624941092129	86.13176947747083	119.13536924392172	36.224217175696154	98.622	42.88	39.7	55.4547	55.18	90.48	74.29696	70.6	204.6	70.886576	61.63	69.2	-90.0	3050.0	550.0	1970.0
GP	2019-01	41.25675827259315	21.173316155533087	25.57139615426428	6.652783056453671	29.61103866270235	60.765383359348974	43.67880966695432	30.46571123344797	108.94742177868706	33.49673281229177	22.093787720125405	44.11485887709223	5.263079923516447	85.11654061582209	96.5606420086819	32.501003198978694	114.28	68.18	33.0	62.134128	85.17	83.57	117.21354	77.5	156.7	95.401252	75.36	54.7	90.0	2130.0	960.0	940.0
GP	2019-02	37.46918846145175	18.048683956782398	27.419031699597987	3.6976298499835067	27.829514266534538	60.68303612903257	39.56889469513483	26.78442550717854	106.94882193406022	29.727030437184027	20.01825060069677	45.55076258276239	8.260506386602861	85.50808781157241	94.92914894093232	35.51033107557511	42.741	89.68	25.4	15.3559	58.97	129.93	47.07382	74.5	174.2	33.832199	81.7	52.8	2410.0	4790.0	1750.0	2010.0
GP	2019-03	39.94856129512132	21.336578242572802	35.06501426217409	16.78814817339411	35.55887790124632	77.0923063837183	40.97874529994989	31.632857489496782	138.62673780939255	34.67928861220639	24.62593470326188	56.02069441904119	17.105184646377957	95.94665769093262	128.59156934038154	46.23033431137111	33.978	47.28	39.2	14.475406	69.68	99.39	37.71973	64.2	175.6	21.274255	59.48	78.0	1850.0	5330.0	1070.0	1860.0
GP	2019-04	36.51515025973582	37.352880794471865	53.91744930780032	43.2978069952943	52.86549653499443	83.769287080568	41.45175948235931	42.36611798495552	160.83247335506712	35.04573778143255	42.88932488953968	75.2731608432306	54.606055632352636	93.92977896033113	161.7591390004597	82.91231386525	9.716	105.01	103.1	-0.887168	106.44	149.7	12.39027	87.5	287.0	-4.23309	119.14	137.8	6240.0	13510.0	2830.0	3080.0
GP	2019-05	27.53268470570109	52.195453379165045	58.72003010992295	71.11123860526527	66.19178243936938	66.61151181119318	46.09199172625253	49.135747714763596	128.14038014078554	30.52115676624438	57.987990749811516	72.51011094475193	83.60744407554566	62.41894785891603	131.85384308089414	100.89477637993375	2.331	86.08	121.1	10.727082	93.98	125.95	3.62139	119.1	274.2	-8.259425	132.89	144.4	6100.0	12450.0	2040.0	2990.0
GP	2019-06	20.007366000707968	63.30180880534541	48.631011747160805	84.17346158912804	70.48232455275226	42.914722374669466	49.76393376647051	49.961951956979426	82.51647333114943	27.472253808685696	70.04587991373718	55.292558342670674	92.01964219777146	29.678701451956222	82.99209980643994	98.52939019168558	-2.9988	63.49	65.1	32.824457	129.17	93.0	15.3101	94.2	159.7	-0.929253	110.29	86.7	3410.0	8870.0	2250.0	2030.0
